fiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,OCF,Capex,Cash,Shares,gross_margin,operating_margin,net_margin,ROA,ROE,debt_to_assets,debt_to_equity,Leverage,AssetTurnover,fcf,fcf_margin
2020,33014000000.0,19581000000.0,8997000000.0,7747000000.0,87296000000.0,67997000000.0,19299000000.0,42793000000.0,9844000000.0,1177000000.0,6795000000.0,4309311676.0,0.5931120130853578,0.2725207487732477,0.23465802386866177,0.08874404325513197,0.40141976268200424,0.7789245784457478,2.217368775584227,4.523343178403026,0.37818456744868034,8667000000.0,0.26252498939843705
2021,38655000000.0,23298000000.0,10308000000.0,9771000000.0,94354000000.0,71355000000.0,22999000000.0,42761000000.0,12625000000.0,1367000000.0,9684000000.0,4335473308.0,0.6027163368257664,0.26666666666666666,0.2527745440434614,0.1035568179409458,0.42484455845906344,0.7562477478432287,1.8592547502065306,4.102526196791165,0.40968056468194247,11258000000.0,0.29124304747121976
2022,43004000000.0,25004000000.0,10909000000.0,9542000000.0,92763000000.0,68658000000.0,24105000000.0,39149000000.0,11018000000.0,1484000000.0,9519000000.0,4326691783.0,0.5814342851827737,0.2536740768300623,0.2218863361547763,0.10286428856332805,0.3958514830947936,0.7401442385433847,1.6241028832192492,3.8482887367766025,0.46359000894753294,9534000000.0,0.22170030694819087
2023,45754000000.0,27234000000.0,11311000000.0,10714000000.0,97703000000.0,71762000000.0,25941000000.0,37507000000.0,11599000000.0,1852000000.0,9366000000.0,4312456168.0,0.5952266468505486,0.24721335839489444,0.23416531887922368,0.10965886410857395,0.41301414748853166,0.7344912643419342,1.4458579083304421,3.766354419644578,0.4682967769669304,9747000000.0,0.2130305547055995
2024,47061000000.0,28737000000.0,9992000000.0,10631000000.0,100549000000.0,75693000000.0,24856000000.0,42375000000.0,6805000000.0,2064000000.0,10828000000.0,4301000395.0,0.6106330082233696,0.21232018019166612,0.22589830220352308,0.1057295447990532,0.4277035725780496,0.7527971436811902,1.70481976182813,4.045260701641455,0.46804045788620474,4741000000.0,0.10074159070143006
